,stationid,neighborhood,borough,zipcode,station_name,latitude,longitude,count
177,459,Manhattan Community Board 4,Manhattan,10011.0,W 20 St & 11 Ave,40.746745,-74.007756,536
5,293,Manhattan Community Board 2,Manhattan,10003.0,Lafayette St & E 8 St,40.73028666,-73.9907647,505
58,519,Manhattan Community Board 5,Manhattan,10037.0,Pershing Square N,40.75188406,-73.97770164,503
239,497,Manhattan Community Board 5,Manhattan,10010.0,E 17 St & Broadway,40.73704984,-73.99009296,496
42,426,Manhattan Community Board 1,Manhattan,10282.0,West St & Chambers St,40.71754834,-74.01322069,465
4,521,Manhattan Community Board 4,Manhattan,10122.0,8 Ave & W 31 St,40.75044999,-73.99481051,410
208,382,Manhattan Community Board 2,Manhattan,10003.0,University Pl & E 14 St,40.73492695,-73.99200509,405
92,285,Manhattan Community Board 2,Manhattan,10003.0,Broadway & E 14 St,40.73454567,-73.99074142,402
6,380,Manhattan Community Board 2,Manhattan,10014.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,386
122,477,Manhattan Community Board 5,Manhattan,10036.0,W 41 St & 8 Ave,40.75640548,-73.9900262,365
199,499,Manhattan Community Board 7,Manhattan,10463.0,Broadway & W 60 St,40.76915505,-73.98191841,360
164,284,Manhattan Community Board 2,Manhattan,10014.0,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,359
115,435,Manhattan Community Board 4,Manhattan,10011.0,W 21 St & 6 Ave,40.74173969,-73.99415556,349
168,151,Manhattan Community Board 2,Manhattan,10012.0,Cleveland Pl & Spring St,40.7218158,-73.99720307,345
227,444,Manhattan Community Board 5,Manhattan,10019.0,Broadway & W 24 St,40.7423543,-73.98915076,342
127,318,Manhattan Community Board 5,Manhattan,10017.0,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,328
112,347,Manhattan Community Board 2,Manhattan,10014.0,W Houston St & Hudson St,40.72873888,-74.00748842,304
32,116,Manhattan Community Board 4,Manhattan,10011.0,W 17 St & 8 Ave,40.74177603,-74.00149746,301
121,402,Manhattan Community Board 5,Manhattan,10010.0,Broadway & E 22 St,40.7403432,-73.98955109,300
82,368,University Village,Manhattan,10014.0,Carmine St & 6 Ave,40.73038599,-74.00214988,298
139,327,Manhattan Community Board 1,Manhattan,10285.0,Vesey Pl & River Terrace,40.7153379,-74.01658354,293
142,518,Manhattan Community Board 6,Manhattan,10016.0,E 39 St & 2 Ave,40.74780373,-73.9734419,293
53,387,Manhattan Community Board 1,Manhattan,10000.0,Centre St & Chambers St,40.71273266,-74.0046073,290
10,457,Manhattan Community Board 5,Manhattan,10019.0,Broadway & W 58 St,40.76695317,-73.98169333,289
77,462,Manhattan Community Board 4,Manhattan,10011.0,W 22 St & 10 Ave,40.74691959,-74.00451887,289
62,128,University Village,Manhattan,10012.0,MacDougal St & Prince St,40.72710258,-74.00297088,288
144,517,Manhattan Community Board 5,Manhattan,10017.0,Pershing Square S,40.75149263,-73.97798848,285
97,492,Chelsea,Manhattan,10001.0,W 33 St & 7 Ave,40.75019995,-73.99093085,285
94,127,University Village,Manhattan,10014.0,Barrow St & Hudson St,40.73172428,-74.00674436,283
157,147,Manhattan Community Board 1,Manhattan,10014.0,Greenwich St & Warren St,40.71542197,-74.01121978,281
